,country,year,attack type,target industry,financial loss (in million $),number of affected users,security vulnerability type,defense mechanism used,incident resolution time (in hours),data breach in gb
44,australia,2020,ddos,banking,92.95,942890.0,weak passwords,antivirus,19.0,5.94
45,france,2022,malware,healthcare,20.33,502006.5,zero day,ai based detection,36.0,18.55
46,uk,2016,sql injection,government,27.33,481293.0,unpatched software,antivirus,65.0,27.36
47,india,2016,phishing,education,21.01,602692.0,unpatched software,vpn,37.0,266.58
48,uk,2018,man-in-the-middle,retail,13.66,455529.0,zero day,antivirus,40.0,91.42
49,japan,2017,phishing,telecommunications,51.41,383395.0,zero day,vpn,31.0,3.88
50,usa,2023,ddos,it,59.69,113612.0,zero day,vpn,70.0,88.78
51,australia,2019,phishing,government,21.72,502006.5,unpatched software,antivirus,37.0,30.64
52,uk,2015,phishing,it,85.58,17229.0,weak passwords,antivirus,30.0,19.78
53,france,2018,phishing,healthcare,75.11,581303.0,social engineering,encryption,51.0,136.66
54,india,2019,phishing,education,10.8,502006.5,zero day,ai based detection,23.0,256.34
55,india,2020,ddos,banking,86.27,898655.0,unpatched software,ai based detection,37.0,55.2
56,uk,2020,malware,healthcare,67.1,698852.0,weak passwords,antivirus,57.0,15.51
57,uk,2018,ddos,healthcare,76.43,304162.0,unpatched software,firewall,56.0,34.34
58,brazil,2015,phishing,banking,51.41,191625.0,social engineering,antivirus,65.0,89.74
59,australia,2024,phishing,education,93.32,93185.0,zero day,vpn,14.0,235.88
60,india,2019,phishing,healthcare,35.6,40718.0,zero day,vpn,37.0,26.61
61,china,2015,phishing,government,42.73,310574.0,zero day,antivirus,65.0,41.33
62,india,2024,ddos,education,73.37,475719.0,social engineering,firewall,52.0,55.2
63,uk,2018,malware,it,73.18,404060.0,weak passwords,antivirus,32.0,9.08
64,uk,2024,phishing,education,72.35,132726.0,zero day,firewall,55.0,55.2
65,uk,2016,ddos,banking,87.68,336376.0,social engineering,firewall,37.0,417.53
66,australia,2022,phishing,healthcare,67.16,502006.5,weak passwords,encryption,63.0,49.01
67,russia,2017,phishing,education,83.43,313631.0,zero day,antivirus,37.0,245.99
68,uk,2020,ddos,banking,28.66,996004.0,zero day,vpn,28.0,55.2
69,china,2021,phishing,it,55.04,871600.0,zero day,firewall,29.0,55.2
70,brazil,2020,ddos,it,43.51,940656.0,weak passwords,antivirus,41.0,93.89
71,usa,2015,phishing,telecommunications,51.41,297209.0,zero day,firewall,66.0,55.2
72,uk,2020,phishing,it,78.19,502006.5,unpatched software,antivirus,63.0,51.74
73,brazil,2022,phishing,telecommunications,29.02,456783.0,zero day,encryption,10.0,570.76
74,uk,2018,ransomware,banking,87.56,933028.0,unpatched software,vpn,25.0,1.07
75,australia,2023,phishing,telecommunications,24.65,221512.0,zero day,ai based detection,56.0,187.33
76,uk,2017,phishing,it,17.88,16585.0,unpatched software,antivirus,12.0,55.2
77,usa,2022,ransomware,education,21.01,787752.0,weak passwords,antivirus,37.0,34.87
78,russia,2020,phishing,it,60.25,662517.0,social engineering,firewall,40.0,62.65
79,uk,2018,malware,education,6.63,274509.0,zero day,antivirus,20.0,2.77
80,france,2024,phishing,government,5.8,508649.0,unpatched software,firewall,66.0,39.27
81,brazil,2021,ddos,it,51.41,740257.0,zero day,encryption,70.0,93.29
82,australia,2024,malware,it,62.08,969504.0,social engineering,antivirus,5.0,501.12
83,uk,2016,man-in-the-middle,healthcare,90.2,502006.5,zero day,ai based detection,54.0,25.09
84,japan,2019,malware,banking,44.17,502006.5,weak passwords,encryption,27.0,16.24
85,france,2023,phishing,government,55.18,274946.0,zero day,encryption,37.0,55.2
86,japan,2019,man-in-the-middle,banking,41.32,645097.0,zero day,firewall,36.0,215.53
87,uk,2015,ddos,telecommunications,32.92,157678.0,unpatched software,antivirus,68.0,89.4
88,brazil,2020,ddos,it,15.16,157034.0,social engineering,ai based detection,69.0,24.66
89,india,2020,phishing,education,51.41,550656.0,weak passwords,encryption,4.0,55.2
90,australia,2017,phishing,healthcare,68.91,502006.5,unpatched software,firewall,66.0,63.16
91,uk,2023,phishing,banking,81.26,547495.0,weak passwords,ai based detection,3.0,233.45
92,uk,2024,ddos,it,58.31,487694.0,weak passwords,antivirus,41.0,19.05
93,france,2023,man-in-the-middle,retail,88.65,427067.0,zero day,antivirus,42.0,33.4
94,uk,2023,malware,telecommunications,1.51,502006.5,unpatched software,ai based detection,37.0,30.32
95,uk,2020,ransomware,banking,49.23,128594.0,weak passwords,firewall,53.0,6.08
96,germany,2024,phishing,it,84.53,189430.0,zero day,firewall,37.0,55.2
97,france,2021,ddos,healthcare,90.63,603327.0,unpatched software,ai based detection,15.0,55.2
98,uk,2021,phishing,education,80.26,276593.0,social engineering,encryption,36.0,55.02
99,japan,2020,malware,education,22.87,975282.0,unpatched software,firewall,49.0,38.4
100,india,2018,ransomware,retail,23.79,502006.5,zero day,antivirus,11.0,55.2
101,japan,2021,phishing,it,35.43,969517.0,weak passwords,firewall,25.0,29.05
102,australia,2022,malware,banking,74.77,151599.0,zero day,encryption,18.0,32.65
103,japan,2022,sql injection,it,66.66,502006.5,social engineering,ai based detection,30.0,16.39
104,uk,2015,malware,it,78.13,71743.0,unpatched software,vpn,37.0,55.2
105,uk,2020,phishing,banking,51.41,502006.5,weak passwords,antivirus,37.0,100.09
106,germany,2020,sql injection,education,51.41,842506.0,weak passwords,antivirus,19.0,924.52
107,brazil,2023,phishing,it,10.18,933883.0,social engineering,antivirus,41.0,70.94
108,uk,2019,malware,education,4.42,393748.0,unpatched software,ai based detection,10.0,80.34
109,brazil,2020,ddos,banking,51.41,502006.5,zero day,encryption,37.0,48.83
110,japan,2020,ddos,healthcare,73.24,136762.0,zero day,antivirus,41.0,3.07
111,russia,2018,malware,telecommunications,8.11,737958.0,social engineering,vpn,35.0,52.47
112,japan,2020,man-in-the-middle,banking,23.55,108886.0,zero day,antivirus,51.0,59.76
113,australia,2016,phishing,it,92.79,285311.0,zero day,vpn,55.0,2197.03
114,uk,2021,malware,retail,71.11,961868.0,zero day,antivirus,57.0,40.91
115,australia,2023,phishing,it,57.34,471743.0,zero day,firewall,29.0,85.83
116,uk,2024,phishing,government,81.26,993903.0,weak passwords,firewall,25.0,51.83
117,china,2024,ransomware,it,51.41,179156.0,social engineering,ai based detection,34.0,9.46
118,germany,2020,man-in-the-middle,healthcare,56.27,699129.0,unpatched software,antivirus,25.0,303.15
119,russia,2021,phishing,it,83.76,920983.0,social engineering,encryption,24.0,168.66
120,uk,2023,sql injection,banking,85.64,875790.0,unpatched software,antivirus,37.0,178.85
121,russia,2020,malware,retail,61.39,502006.5,weak passwords,antivirus,40.0,55.2
122,russia,2023,ransomware,it,42.14,222293.0,social engineering,vpn,38.0,55.2
123,uk,2021,man-in-the-middle,retail,94.4,357092.0,unpatched software,antivirus,71.0,55.2
124,uk,2021,malware,it,84.68,708291.0,zero day,ai based detection,54.0,131.67
125,russia,2024,malware,banking,93.33,517610.0,zero day,firewall,35.0,1459.26
126,germany,2023,malware,government,70.46,368803.0,unpatched software,vpn,23.0,55.2
127,china,2023,man-in-the-middle,healthcare,48.71,421191.0,unpatched software,antivirus,62.0,55.2
128,india,2018,phishing,it,69.03,282139.0,unpatched software,encryption,37.0,63.4
129,china,2018,malware,it,51.41,117543.0,social engineering,antivirus,22.0,25.66
130,france,2020,phishing,government,27.2,536925.0,zero day,encryption,62.0,5.33
131,uk,2023,phishing,retail,51.41,238068.0,unpatched software,vpn,61.0,60.51
132,japan,2022,phishing,telecommunications,38.46,39814.0,social engineering,vpn,32.0,11.1
133,india,2018,phishing,government,80.89,268956.0,zero day,antivirus,47.0,111.1
134,france,2015,malware,education,51.41,424.0,unpatched software,antivirus,37.0,13.75
135,uk,2020,sql injection,telecommunications,82.24,982969.0,unpatched software,encryption,64.0,55.2
136,germany,2021,malware,government,82.72,502006.5,social engineering,firewall,33.0,16.86
137,japan,2016,man-in-the-middle,retail,18.96,530947.0,unpatched software,vpn,12.0,33.68
138,uk,2017,sql injection,it,51.41,576110.0,unpatched software,antivirus,37.0,184.99
139,uk,2017,man-in-the-middle,government,51.41,177154.0,zero day,antivirus,68.0,55.2
140,france,2017,phishing,healthcare,60.77,212177.0,zero day,encryption,2.0,76.8
141,germany,2021,ddos,banking,91.24,502006.5,unpatched software,antivirus,37.0,387.89
142,usa,2015,phishing,education,41.36,291727.0,zero day,encryption,31.0,55.2
143,germany,2022,ddos,it,78.18,987652.0,social engineering,vpn,72.0,72.02
144,uk,2022,phishing,telecommunications,16.16,502006.5,zero day,antivirus,37.0,55.2
145,usa,2020,phishing,telecommunications,51.41,209853.0,zero day,vpn,37.0,176.4
146,uk,2020,ddos,retail,51.41,502006.5,zero day,antivirus,37.0,8.54
147,france,2015,sql injection,retail,61.41,694844.0,zero day,antivirus,43.0,7.53
148,france,2018,sql injection,retail,53.72,795831.0,unpatched software,antivirus,61.0,119.45
149,brazil,2020,ddos,retail,17.4,342253.0,weak passwords,encryption,22.0,85.24
150,uk,2020,phishing,it,75.94,638693.0,weak passwords,antivirus,35.0,55.2
151,usa,2020,phishing,banking,55.9,618616.0,zero day,vpn,51.0,91.81
152,uk,2023,sql injection,retail,56.76,774426.0,social engineering,ai based detection,21.0,19.69
153,uk,2023,phishing,government,51.41,502006.5,unpatched software,encryption,64.0,77.35
154,india,2019,phishing,telecommunications,75.23,141627.0,unpatched software,ai based detection,64.0,84.74
155,uk,2020,phishing,it,3.93,845785.0,zero day,antivirus,69.0,18.7
156,australia,2020,malware,retail,99.41,502006.5,zero day,antivirus,37.0,55.2
157,usa,2016,malware,retail,32.89,502006.5,social engineering,ai based detection,31.0,111.14
158,japan,2017,phishing,healthcare,21.66,277555.0,social engineering,ai based detection,45.0,9.14
159,australia,2024,ransomware,education,85.86,461012.0,zero day,antivirus,37.0,146.18
160,russia,2021,sql injection,telecommunications,80.23,599291.0,zero day,firewall,55.0,12.65
161,uk,2020,man-in-the-middle,government,31.92,163602.0,unpatched software,vpn,26.0,177.79
162,uk,2020,sql injection,government,39.03,986196.0,weak passwords,encryption,11.0,310.41
163,france,2024,ransomware,retail,99.03,349008.0,zero day,encryption,20.0,15.94
164,germany,2022,sql injection,retail,25.1,559667.0,zero day,antivirus,69.0,231.61
165,uk,2018,ddos,it,67.27,335628.0,weak passwords,antivirus,20.0,101.41
166,uk,2016,phishing,education,29.89,385363.0,unpatched software,firewall,22.0,187.37
167,usa,2021,man-in-the-middle,education,51.41,945793.0,zero day,firewall,37.0,55.2
168,russia,2016,sql injection,telecommunications,51.41,595950.0,social engineering,antivirus,37.0,37.79
169,japan,2020,phishing,education,12.61,756722.0,weak passwords,vpn,15.0,17.63
170,australia,2024,ransomware,government,39.92,502006.5,social engineering,antivirus,54.0,14.38
171,uk,2015,malware,it,19.36,457790.0,zero day,encryption,39.0,16.06
172,china,2024,ransomware,telecommunications,70.47,549337.0,social engineering,antivirus,63.0,48.64
173,france,2023,phishing,healthcare,53.34,502006.5,unpatched software,firewall,34.0,91.08
174,india,2022,malware,it,84.15,849745.0,social engineering,antivirus,37.0,82.68
175,brazil,2020,phishing,banking,27.64,826256.0,zero day,vpn,50.0,188.82
176,uk,2017,ddos,it,9.01,617543.0,zero day,antivirus,43.0,55.67
177,usa,2017,sql injection,it,9.08,895507.0,zero day,ai based detection,37.0,483.14
178,uk,2020,sql injection,healthcare,67.9,2233.0,social engineering,antivirus,45.0,36.71
179,japan,2020,phishing,government,71.12,76776.0,unpatched software,antivirus,42.0,55.2
180,uk,2019,ransomware,retail,6.08,175261.0,zero day,vpn,64.0,139.56
181,australia,2016,man-in-the-middle,healthcare,90.85,502006.5,unpatched software,antivirus,30.0,15.09
182,uk,2017,malware,healthcare,77.32,563706.0,unpatched software,ai based detection,35.0,10.95
183,india,2022,ddos,healthcare,51.41,254980.0,unpatched software,ai based detection,58.0,55.2
184,russia,2021,malware,it,51.41,869574.0,unpatched software,antivirus,16.0,39.05
185,russia,2015,malware,it,51.41,502006.5,zero day,vpn,21.0,159.33
186,brazil,2023,malware,telecommunications,62.77,422623.0,zero day,ai based detection,55.0,111.04
187,brazil,2021,malware,healthcare,83.06,937717.0,unpatched software,encryption,56.0,55.2
188,uk,2021,man-in-the-middle,telecommunications,71.64,416077.0,social engineering,vpn,39.0,15.33
189,australia,2019,man-in-the-middle,banking,47.67,112313.0,zero day,firewall,63.0,5.63
190,australia,2020,phishing,telecommunications,79.72,799971.0,zero day,firewall,63.0,27.94
191,japan,2020,man-in-the-middle,retail,47.11,690595.0,social engineering,antivirus,71.0,197.27
192,india,2017,phishing,government,69.69,713419.0,unpatched software,ai based detection,70.0,55.2
193,australia,2022,man-in-the-middle,healthcare,81.31,707365.0,zero day,antivirus,38.0,8.43
194,brazil,2020,malware,it,51.41,502006.5,unpatched software,antivirus,37.0,70.79
195,russia,2022,phishing,banking,85.01,923558.0,weak passwords,encryption,41.0,97.32
196,germany,2022,ddos,telecommunications,51.41,239313.0,social engineering,ai based detection,6.0,14.5
197,uk,2023,ransomware,it,60.08,874485.0,weak passwords,antivirus,48.0,68.76
198,uk,2016,sql injection,healthcare,51.41,90895.0,social engineering,vpn,29.0,55.2
199,china,2015,phishing,retail,51.41,502006.5,zero day,vpn,64.0,9.83
200,germany,2018,phishing,it,46.92,610201.0,weak passwords,vpn,72.0,93.38
201,usa,2021,ddos,telecommunications,1.98,863623.0,weak passwords,antivirus,37.0,126.62
202,usa,2018,malware,healthcare,14.28,502006.5,weak passwords,antivirus,44.0,277.15
203,japan,2021,sql injection,telecommunications,51.41,164032.0,zero day,firewall,5.0,265.26
204,russia,2020,man-in-the-middle,telecommunications,95.66,259993.0,weak passwords,antivirus,58.0,6.91
205,uk,2020,phishing,retail,90.13,232359.0,social engineering,antivirus,17.0,13.37
206,uk,2018,phishing,telecommunications,84.9,800031.0,zero day,encryption,10.0,118.22
207,uk,2016,phishing,healthcare,71.19,925040.0,unpatched software,encryption,37.0,55.2
208,brazil,2020,malware,it,51.41,273469.0,social engineering,ai based detection,67.0,55.2
209,germany,2020,malware,banking,22.84,797768.0,zero day,firewall,37.0,10000.0
210,japan,2020,phishing,education,82.19,905203.0,weak passwords,antivirus,37.0,128.55
211,india,2023,phishing,telecommunications,51.41,512291.0,zero day,antivirus,51.0,299.87
212,uk,2017,phishing,telecommunications,51.41,502006.5,social engineering,vpn,9.0,55.2
213,uk,2015,ransomware,government,30.74,744505.0,zero day,antivirus,37.0,145.05
214,brazil,2020,malware,banking,79.61,502006.5,weak passwords,firewall,27.0,55.2
215,brazil,2017,malware,banking,99.22,502006.5,weak passwords,antivirus,21.0,170.45
216,india,2016,phishing,retail,29.48,403737.0,zero day,firewall,26.0,17.13
217,china,2019,phishing,retail,7.87,86783.0,zero day,antivirus,12.0,38.27
218,australia,2022,phishing,telecommunications,86.77,390083.0,social engineering,vpn,37.0,26.36
219,brazil,2023,man-in-the-middle,banking,51.41,376174.0,social engineering,firewall,43.0,55.2
220,uk,2022,ransomware,it,51.41,502006.5,weak passwords,antivirus,61.0,1758.1
221,france,2020,phishing,banking,78.82,759804.0,unpatched software,antivirus,37.0,3.32
222,japan,2017,phishing,it,65.62,286208.0,zero day,firewall,57.0,55.2
223,usa,2020,malware,it,75.53,502006.5,unpatched software,antivirus,33.0,4.86
224,usa,2020,man-in-the-middle,it,36.06,48987.0,zero day,vpn,58.0,26.9
225,russia,2021,sql injection,it,68.07,538602.0,unpatched software,vpn,19.0,279.62
226,japan,2020,malware,healthcare,26.29,808392.0,weak passwords,antivirus,4.0,55.2
227,uk,2020,ransomware,it,26.12,21580.0,weak passwords,ai based detection,14.0,10.84
228,france,2020,phishing,government,94.44,209658.0,zero day,vpn,11.0,18.67
229,uk,2017,man-in-the-middle,retail,74.12,559889.0,zero day,vpn,10.0,55.2
230,france,2015,sql injection,government,12.92,502006.5,zero day,vpn,28.0,18.26
231,australia,2024,phishing,retail,51.41,897569.0,social engineering,ai based detection,66.0,75.54
232,australia,2023,sql injection,it,99.19,538688.0,zero day,encryption,36.0,58.46
233,china,2015,ddos,government,22.71,303975.0,social engineering,firewall,2.0,55.2
234,japan,2020,sql injection,it,51.41,822256.0,unpatched software,firewall,60.0,1360.92
235,russia,2019,phishing,healthcare,53.82,521877.0,zero day,encryption,66.0,55.2
236,brazil,2016,sql injection,education,51.41,758258.0,zero day,encryption,44.0,55.2
237,brazil,2016,ddos,it,51.41,988369.0,weak passwords,antivirus,26.0,55.2
238,france,2022,malware,healthcare,67.89,502006.5,social engineering,vpn,69.0,20.23
239,germany,2021,ransomware,it,5.54,254933.0,social engineering,antivirus,41.0,196.1
240,uk,2023,ddos,government,51.41,339144.0,unpatched software,vpn,26.0,16.63
241,uk,2022,ransomware,education,57.52,170002.0,unpatched software,ai based detection,37.0,45.97
242,japan,2019,phishing,government,74.65,491269.0,zero day,firewall,67.0,116.45
243,china,2019,phishing,it,49.14,502006.5,social engineering,firewall,37.0,200.06
244,india,2018,ddos,government,36.04,446170.0,unpatched software,vpn,72.0,55.2
245,india,2015,malware,telecommunications,14.09,28398.0,zero day,encryption,22.0,33.06
246,uk,2017,ransomware,telecommunications,66.36,180698.0,zero day,encryption,53.0,26.78
247,germany,2020,malware,it,51.41,676384.0,zero day,vpn,44.0,20.49
248,brazil,2015,ransomware,it,61.91,961557.0,zero day,antivirus,37.0,771.38
249,japan,2020,phishing,education,54.47,345334.0,weak passwords,antivirus,37.0,55.2
250,russia,2024,phishing,it,87.88,263407.0,zero day,antivirus,8.0,8.24
251,russia,2020,phishing,it,51.41,791350.0,zero day,antivirus,32.0,216.33
252,china,2022,ransomware,telecommunications,64.92,591819.0,zero day,antivirus,49.0,1317.16
253,uk,2020,sql injection,it,6.59,186612.0,unpatched software,antivirus,30.0,55.2
254,uk,2018,ransomware,it,51.41,187730.0,zero day,ai based detection,26.0,5.59
255,france,2015,sql injection,it,87.78,6456.0,social engineering,firewall,69.0,26.41
256,japan,2020,phishing,banking,15.73,762662.0,zero day,firewall,56.0,55.2
257,uk,2020,phishing,it,30.26,256396.0,zero day,encryption,37.0,55.2
258,brazil,2020,sql injection,healthcare,54.59,437634.0,weak passwords,antivirus,29.0,106.24
259,russia,2015,phishing,healthcare,63.09,80855.0,zero day,antivirus,53.0,55.2
260,india,2016,phishing,retail,59.36,502006.5,zero day,ai based detection,37.0,13.59
261,japan,2020,ransomware,it,79.52,934400.0,social engineering,vpn,4.0,49.93
262,uk,2020,phishing,telecommunications,87.83,547719.0,zero day,ai based detection,22.0,0.42
263,china,2016,phishing,healthcare,96.63,808984.0,weak passwords,firewall,26.0,11.74
264,japan,2023,phishing,banking,52.86,261038.0,social engineering,encryption,48.0,37.38
265,china,2024,phishing,education,4.01,502006.5,zero day,antivirus,49.0,55.2
266,china,2019,ransomware,it,68.02,175038.0,weak passwords,vpn,67.0,631.83
267,uk,2022,phishing,retail,51.41,774613.0,weak passwords,encryption,53.0,6.39
268,uk,2021,phishing,healthcare,37.45,558357.0,weak passwords,antivirus,49.0,28.22
269,india,2020,phishing,it,36.78,620056.0,weak passwords,firewall,14.0,66.43
270,russia,2018,malware,healthcare,40.66,90640.0,social engineering,encryption,56.0,55.2
271,russia,2020,phishing,retail,51.41,449596.0,unpatched software,ai based detection,3.0,55.2
272,australia,2020,ransomware,healthcare,58.91,207842.0,social engineering,antivirus,40.0,312.54
273,germany,2017,phishing,retail,93.6,908249.0,zero day,ai based detection,53.0,55.44
274,uk,2017,phishing,it,47.39,470895.0,social engineering,antivirus,63.0,12.53
275,france,2017,malware,education,3.21,342049.0,zero day,ai based detection,31.0,109.2
276,brazil,2018,phishing,banking,98.75,316891.0,social engineering,antivirus,37.0,73.6
277,india,2019,man-in-the-middle,education,27.45,633466.0,zero day,ai based detection,16.0,55.2
278,uk,2023,malware,it,23.98,123866.0,zero day,firewall,37.0,55.2
279,uk,2017,ddos,telecommunications,79.93,305905.0,unpatched software,encryption,44.0,30.63
280,russia,2023,phishing,telecommunications,3.66,502006.5,unpatched software,ai based detection,34.0,64.73
281,uk,2016,man-in-the-middle,retail,72.78,11339.0,social engineering,antivirus,34.0,55.2
282,uk,2017,sql injection,banking,73.88,8385.0,social engineering,ai based detection,69.0,589.35
283,russia,2024,ransomware,banking,52.8,21810.0,zero day,vpn,48.0,55.2
284,india,2020,man-in-the-middle,it,51.41,7347.0,zero day,ai based detection,7.0,1338.83
285,germany,2021,sql injection,education,1.62,502006.5,weak passwords,antivirus,58.0,55.2
286,russia,2020,ddos,healthcare,0.82,683572.0,zero day,antivirus,69.0,43.48
287,germany,2015,phishing,it,90.91,654633.0,weak passwords,antivirus,43.0,131.96
288,uk,2021,phishing,banking,32.84,502006.5,zero day,encryption,67.0,55.2
289,russia,2017,malware,education,63.33,185208.0,zero day,firewall,3.0,21.45
290,russia,2022,man-in-the-middle,healthcare,51.41,182378.0,social engineering,ai based detection,10.0,39.96
291,china,2016,phishing,it,7.73,800480.0,zero day,antivirus,31.0,26.06
292,india,2019,ddos,banking,46.98,502006.5,unpatched software,ai based detection,68.0,55.2
293,russia,2024,ransomware,it,80.11,923911.0,unpatched software,firewall,37.0,195.27
294,germany,2020,phishing,education,11.81,418893.0,social engineering,antivirus,31.0,93.27
295,germany,2016,phishing,education,15.09,914593.0,weak passwords,ai based detection,1.0,19.31
296,japan,2015,sql injection,banking,20.69,502006.5,zero day,antivirus,37.0,210.48
297,india,2019,ddos,it,36.86,502006.5,social engineering,vpn,7.0,86.57
298,australia,2019,phishing,education,51.41,812343.0,social engineering,antivirus,37.0,184.8
299,china,2017,malware,it,51.41,346390.0,weak passwords,firewall,36.0,140.39
300,brazil,2020,phishing,it,13.89,30925.0,zero day,encryption,43.0,15.74
301,uk,2017,ddos,government,15.63,663812.0,zero day,antivirus,57.0,23.56
302,brazil,2020,man-in-the-middle,government,51.41,220978.0,zero day,vpn,47.0,167.49
303,uk,2021,phishing,banking,51.41,100486.0,zero day,antivirus,31.0,55.2
304,russia,2023,sql injection,education,75.63,502006.5,weak passwords,antivirus,70.0,52.91
305,japan,2020,man-in-the-middle,healthcare,64.21,707978.0,weak passwords,vpn,41.0,65.1
306,brazil,2020,phishing,healthcare,99.14,456432.0,zero day,antivirus,66.0,371.11
307,brazil,2016,man-in-the-middle,it,51.41,502006.5,social engineering,ai based detection,52.0,55.2
308,uk,2020,ddos,government,51.41,890414.0,unpatched software,ai based detection,28.0,124.05
309,france,2021,malware,it,51.41,440358.0,zero day,antivirus,37.0,55.2
310,uk,2022,malware,it,38.89,400752.0,unpatched software,antivirus,36.0,39.39
311,france,2018,phishing,banking,89.77,134364.0,zero day,antivirus,63.0,283.77
312,germany,2017,phishing,telecommunications,15.01,406483.0,weak passwords,antivirus,62.0,188.32
313,brazil,2018,sql injection,it,98.38,661583.0,social engineering,encryption,30.0,55.2
314,russia,2015,sql injection,education,23.49,642834.0,zero day,antivirus,34.0,386.92
315,brazil,2017,ransomware,it,9.43,493087.0,unpatched software,encryption,44.0,56.35
316,brazil,2020,phishing,it,97.37,966570.0,weak passwords,antivirus,32.0,55.2
317,russia,2022,phishing,telecommunications,73.26,687383.0,weak passwords,antivirus,8.0,55.2
318,germany,2020,phishing,retail,78.84,733304.0,weak passwords,antivirus,19.0,88.79
319,uk,2023,phishing,telecommunications,3.51,661681.0,weak passwords,ai based detection,37.0,44.92
320,uk,2020,sql injection,it,25.32,502006.5,zero day,antivirus,37.0,63.15
321,germany,2015,phishing,banking,51.41,861637.0,zero day,antivirus,15.0,55.2
322,brazil,2016,sql injection,telecommunications,73.76,393189.0,zero day,antivirus,37.0,16.0
323,uk,2022,phishing,healthcare,51.41,999545.0,social engineering,antivirus,47.0,1259.64
324,uk,2021,sql injection,it,77.82,935572.0,social engineering,encryption,61.0,12.07
325,uk,2016,ransomware,it,51.41,724608.0,social engineering,antivirus,21.0,8.83
326,uk,2024,ddos,banking,55.73,750979.0,social engineering,ai based detection,37.0,310.18
