country,year,attack type,target industry,financial loss (in million $),number of affected users,security vulnerability type,defense mechanism used,incident resolution time (in hours),data breach in gb,severity_kmeans,country_encoded,attack type_encoded,target industry_encoded,security vulnerability type_encoded,defense mechanism used_encoded,severity_kmeans_encoded
france,2024,ddos,it,48.01,922258.0,zero day,antivirus,64.0,55.2,Medium,49.647629427792914,52.0362353858145,50.97536605796616,50.73063247408982,51.08555063478004,48.46779490529065
australia,2022,phishing,banking,64.31,120789.0,zero day,encryption,37.0,23.49,High,52.26311760612387,50.854168128888176,51.34587037037037,50.73063247408982,50.98364175977653,69.99341233766233
russia,2020,man-in-the-middle,healthcare,13.04,850158.0,unpatched software,ai based detection,67.0,11.95,Low,50.27492296918767,51.405620172648796,50.03413125590179,50.39994936708861,50.74505869797225,15.9447700770077
india,2015,phishing,it,93.14,502006.5,social engineering,encryption,56.0,87.48,Critical,48.44036096256684,50.854168128888176,50.97536605796616,51.27242457487658,50.98364175977653,89.91338255033557
uk,2019,malware,telecommunications,14.01,578443.0,social engineering,firewall,28.0,13.98,Low,50.7941619047619,49.52314083921895,51.06955882352941,51.27242457487658,50.07604240282686,15.9447700770077
india,2016,ddos,it,36.45,261808.0,zero day,ai based detection,6.0,6.56,Medium,48.44036096256684,52.0362353858145,50.97536605796616,50.73063247408982,50.74505869797225,48.46779490529065
brazil,2015,phishing,retail,49.55,920172.0,weak passwords,antivirus,43.0,492.0,Medium,51.0463731245923,50.854168128888176,50.93712900096993,50.6939484857062,51.08555063478004,48.46779490529065
france,2023,ransomware,education,51.41,502006.5,social engineering,vpn,11.0,38.91,Medium,49.647629427792914,50.373152852977924,48.46954841946814,51.27242457487658,50.51369003690037,48.46779490529065
uk,2017,ddos,government,51.41,246205.0,unpatched software,antivirus,30.0,60.42,Medium,50.7941619047619,52.0362353858145,52.12430513595166,50.39994936708861,51.08555063478004,48.46779490529065
japan,2022,phishing,telecommunications,20.42,186148.0,weak passwords,antivirus,32.0,6.44,Low,50.60352348993288,50.854168128888176,51.06955882352941,50.6939484857062,51.08555063478004,15.9447700770077
brazil,2020,ddos,telecommunications,51.84,699007.0,social engineering,vpn,30.0,24.13,Medium,51.0463731245923,52.0362353858145,51.06955882352941,51.27242457487658,50.51369003690037,48.46779490529065
china,2021,phishing,retail,51.06,628562.0,zero day,ai based detection,52.0,64.48,Medium,49.59663946587538,50.854168128888176,50.93712900096993,50.73063247408982,50.74505869797225,48.46779490529065
japan,2022,malware,education,53.04,570494.0,unpatched software,vpn,53.0,9.71,Medium,50.60352348993288,49.52314083921895,48.46954841946814,50.39994936708861,50.51369003690037,48.46779490529065
uk,2022,ransomware,banking,26.17,937653.0,unpatched software,antivirus,24.0,95.92,Low,50.7941619047619,50.373152852977924,51.34587037037037,50.39994936708861,51.08555063478004,15.9447700770077
uk,2020,malware,it,87.32,599757.0,social engineering,antivirus,9.0,22.18,Critical,50.7941619047619,49.52314083921895,50.97536605796616,51.27242457487658,51.08555063478004,89.91338255033557
australia,2015,ddos,it,82.7,904805.0,zero day,encryption,61.0,35.25,Critical,52.26311760612387,52.0362353858145,50.97536605796616,50.73063247408982,50.98364175977653,89.91338255033557
uk,2022,sql injection,education,66.24,502006.5,social engineering,ai based detection,11.0,22.14,High,50.7941619047619,50.24415149006622,48.46954841946814,51.27242457487658,50.74505869797225,69.99341233766233
france,2020,phishing,telecommunications,18.38,246900.0,zero day,ai based detection,34.0,55.2,Low,49.647629427792914,50.854168128888176,51.06955882352941,50.73063247408982,50.74505869797225,15.9447700770077
uk,2015,phishing,it,42.99,85255.0,zero day,encryption,61.0,53.5,Medium,50.7941619047619,50.854168128888176,50.97536605796616,50.73063247408982,50.98364175977653,48.46779490529065
uk,2022,phishing,banking,98.47,972469.0,zero day,antivirus,21.0,55.2,Critical,50.7941619047619,50.854168128888176,51.34587037037037,50.73063247408982,51.08555063478004,89.91338255033557
brazil,2023,phishing,healthcare,14.51,113777.0,weak passwords,vpn,27.0,187.51,Low,51.0463731245923,50.854168128888176,50.03413125590179,50.6939484857062,50.51369003690037,15.9447700770077
brazil,2020,phishing,banking,17.75,739540.0,zero day,encryption,31.0,8.75,Low,51.0463731245923,50.854168128888176,51.34587037037037,50.73063247408982,50.98364175977653,15.9447700770077
china,2020,phishing,education,51.41,722788.0,zero day,firewall,70.0,74.69,Medium,49.59663946587538,50.854168128888176,48.46954841946814,50.73063247408982,50.07604240282686,48.46779490529065
japan,2021,sql injection,retail,82.52,214372.0,unpatched software,encryption,12.0,2.89,Critical,50.60352348993288,50.24415149006622,50.93712900096993,50.39994936708861,50.98364175977653,89.91338255033557
uk,2022,phishing,retail,32.53,235314.0,weak passwords,ai based detection,62.0,7.45,Medium,50.7941619047619,50.854168128888176,50.93712900096993,50.6939484857062,50.74505869797225,48.46779490529065
brazil,2016,phishing,education,51.41,140812.0,unpatched software,vpn,71.0,55.2,Medium,51.0463731245923,50.854168128888176,48.46954841946814,50.39994936708861,50.51369003690037,48.46779490529065
russia,2015,ddos,telecommunications,96.39,238356.0,zero day,ai based detection,3.0,165.29,Critical,50.27492296918767,52.0362353858145,51.06955882352941,50.73063247408982,50.74505869797225,89.91338255033557
india,2021,sql injection,it,98.09,502006.5,zero day,vpn,57.0,70.6,Critical,48.44036096256684,50.24415149006622,50.97536605796616,50.73063247408982,50.51369003690037,89.91338255033557
uk,2020,man-in-the-middle,retail,51.41,502006.5,zero day,encryption,37.0,45.9,Medium,50.7941619047619,51.405620172648796,50.93712900096993,50.73063247408982,50.98364175977653,48.46779490529065
usa,2017,ddos,it,74.12,403108.0,zero day,vpn,37.0,34.76,High,51.606640173410405,52.0362353858145,50.97536605796616,50.73063247408982,50.51369003690037,69.99341233766233
australia,2020,ddos,banking,92.95,942890.0,weak passwords,antivirus,19.0,5.94,Critical,52.26311760612387,52.0362353858145,51.34587037037037,50.6939484857062,51.08555063478004,89.91338255033557
france,2022,malware,healthcare,20.33,502006.5,zero day,ai based detection,36.0,18.55,Low,49.647629427792914,49.52314083921895,50.03413125590179,50.73063247408982,50.74505869797225,15.9447700770077
uk,2016,sql injection,government,27.33,481293.0,unpatched software,antivirus,65.0,27.36,Low,50.7941619047619,50.24415149006622,52.12430513595166,50.39994936708861,51.08555063478004,15.9447700770077
india,2016,phishing,education,21.01,602692.0,unpatched software,vpn,37.0,266.58,Low,48.44036096256684,50.854168128888176,48.46954841946814,50.39994936708861,50.51369003690037,15.9447700770077
uk,2018,man-in-the-middle,retail,13.66,455529.0,zero day,antivirus,40.0,91.42,Low,50.7941619047619,51.405620172648796,50.93712900096993,50.73063247408982,51.08555063478004,15.9447700770077
japan,2017,phishing,telecommunications,51.41,383395.0,zero day,vpn,31.0,3.88,Medium,50.60352348993288,50.854168128888176,51.06955882352941,50.73063247408982,50.51369003690037,48.46779490529065
usa,2023,ddos,it,59.69,113612.0,zero day,vpn,70.0,88.78,High,51.606640173410405,52.0362353858145,50.97536605796616,50.73063247408982,50.51369003690037,69.99341233766233
australia,2019,phishing,government,21.72,502006.5,unpatched software,antivirus,37.0,30.64,Low,52.26311760612387,50.854168128888176,52.12430513595166,50.39994936708861,51.08555063478004,15.9447700770077
uk,2015,phishing,it,85.58,17229.0,weak passwords,antivirus,30.0,19.78,Critical,50.7941619047619,50.854168128888176,50.97536605796616,50.6939484857062,51.08555063478004,89.91338255033557
france,2018,phishing,healthcare,75.11,581303.0,social engineering,encryption,51.0,136.66,High,49.647629427792914,50.854168128888176,50.03413125590179,51.27242457487658,50.98364175977653,69.99341233766233
india,2019,phishing,education,10.8,502006.5,zero day,ai based detection,23.0,256.34,Low,48.44036096256684,50.854168128888176,48.46954841946814,50.73063247408982,50.74505869797225,15.9447700770077
india,2020,ddos,banking,86.27,898655.0,unpatched software,ai based detection,37.0,55.2,Critical,48.44036096256684,52.0362353858145,51.34587037037037,50.39994936708861,50.74505869797225,89.91338255033557
uk,2020,malware,healthcare,67.1,698852.0,weak passwords,antivirus,57.0,15.51,High,50.7941619047619,49.52314083921895,50.03413125590179,50.6939484857062,51.08555063478004,69.99341233766233
uk,2018,ddos,healthcare,76.43,304162.0,unpatched software,firewall,56.0,34.34,High,50.7941619047619,52.0362353858145,50.03413125590179,50.39994936708861,50.07604240282686,69.99341233766233
brazil,2015,phishing,banking,51.41,191625.0,social engineering,antivirus,65.0,89.74,Medium,51.0463731245923,50.854168128888176,51.34587037037037,51.27242457487658,51.08555063478004,48.46779490529065
australia,2024,phishing,education,93.32,93185.0,zero day,vpn,14.0,235.88,Critical,52.26311760612387,50.854168128888176,48.46954841946814,50.73063247408982,50.51369003690037,89.91338255033557
india,2019,phishing,healthcare,35.6,40718.0,zero day,vpn,37.0,26.61,Medium,48.44036096256684,50.854168128888176,50.03413125590179,50.73063247408982,50.51369003690037,48.46779490529065
china,2015,phishing,government,42.73,310574.0,zero day,antivirus,65.0,41.33,Medium,49.59663946587538,50.854168128888176,52.12430513595166,50.73063247408982,51.08555063478004,48.46779490529065
india,2024,ddos,education,73.37,475719.0,social engineering,firewall,52.0,55.2,High,48.44036096256684,52.0362353858145,48.46954841946814,51.27242457487658,50.07604240282686,69.99341233766233
uk,2018,malware,it,73.18,404060.0,weak passwords,antivirus,32.0,9.08,High,50.7941619047619,49.52314083921895,50.97536605796616,50.6939484857062,51.08555063478004,69.99341233766233
uk,2024,phishing,education,72.35,132726.0,zero day,firewall,55.0,55.2,High,50.7941619047619,50.854168128888176,48.46954841946814,50.73063247408982,50.07604240282686,69.99341233766233
uk,2016,ddos,banking,87.68,336376.0,social engineering,firewall,37.0,417.53,Critical,50.7941619047619,52.0362353858145,51.34587037037037,51.27242457487658,50.07604240282686,89.91338255033557
australia,2022,phishing,healthcare,67.16,502006.5,weak passwords,encryption,63.0,49.01,High,52.26311760612387,50.854168128888176,50.03413125590179,50.6939484857062,50.98364175977653,69.99341233766233
russia,2017,phishing,education,83.43,313631.0,zero day,antivirus,37.0,245.99,Critical,50.27492296918767,50.854168128888176,48.46954841946814,50.73063247408982,51.08555063478004,89.91338255033557
uk,2020,ddos,banking,28.66,996004.0,zero day,vpn,28.0,55.2,Low,50.7941619047619,52.0362353858145,51.34587037037037,50.73063247408982,50.51369003690037,15.9447700770077
china,2021,phishing,it,55.04,871600.0,zero day,firewall,29.0,55.2,Medium,49.59663946587538,50.854168128888176,50.97536605796616,50.73063247408982,50.07604240282686,48.46779490529065
brazil,2020,ddos,it,43.51,940656.0,weak passwords,antivirus,41.0,93.89,Medium,51.0463731245923,52.0362353858145,50.97536605796616,50.6939484857062,51.08555063478004,48.46779490529065
usa,2015,phishing,telecommunications,51.41,297209.0,zero day,firewall,66.0,55.2,Medium,51.606640173410405,50.854168128888176,51.06955882352941,50.73063247408982,50.07604240282686,48.46779490529065
uk,2020,phishing,it,78.19,502006.5,unpatched software,antivirus,63.0,51.74,High,50.7941619047619,50.854168128888176,50.97536605796616,50.39994936708861,51.08555063478004,69.99341233766233
brazil,2022,phishing,telecommunications,29.02,456783.0,zero day,encryption,10.0,570.76,Low,51.0463731245923,50.854168128888176,51.06955882352941,50.73063247408982,50.98364175977653,15.9447700770077
uk,2018,ransomware,banking,87.56,933028.0,unpatched software,vpn,25.0,1.07,Critical,50.7941619047619,50.373152852977924,51.34587037037037,50.39994936708861,50.51369003690037,89.91338255033557
australia,2023,phishing,telecommunications,24.65,221512.0,zero day,ai based detection,56.0,187.33,Low,52.26311760612387,50.854168128888176,51.06955882352941,50.73063247408982,50.74505869797225,15.9447700770077
uk,2017,phishing,it,17.88,16585.0,unpatched software,antivirus,12.0,55.2,Low,50.7941619047619,50.854168128888176,50.97536605796616,50.39994936708861,51.08555063478004,15.9447700770077
usa,2022,ransomware,education,21.01,787752.0,weak passwords,antivirus,37.0,34.87,Low,51.606640173410405,50.373152852977924,48.46954841946814,50.6939484857062,51.08555063478004,15.9447700770077
russia,2020,phishing,it,60.25,662517.0,social engineering,firewall,40.0,62.65,High,50.27492296918767,50.854168128888176,50.97536605796616,51.27242457487658,50.07604240282686,69.99341233766233
uk,2018,malware,education,6.63,274509.0,zero day,antivirus,20.0,2.77,Low,50.7941619047619,49.52314083921895,48.46954841946814,50.73063247408982,51.08555063478004,15.9447700770077
france,2024,phishing,government,5.8,508649.0,unpatched software,firewall,66.0,39.27,Low,49.647629427792914,50.854168128888176,52.12430513595166,50.39994936708861,50.07604240282686,15.9447700770077
brazil,2021,ddos,it,51.41,740257.0,zero day,encryption,70.0,93.29,Medium,51.0463731245923,52.0362353858145,50.97536605796616,50.73063247408982,50.98364175977653,48.46779490529065
australia,2024,malware,it,62.08,969504.0,social engineering,antivirus,5.0,501.12,High,52.26311760612387,49.52314083921895,50.97536605796616,51.27242457487658,51.08555063478004,69.99341233766233
uk,2016,man-in-the-middle,healthcare,90.2,502006.5,zero day,ai based detection,54.0,25.09,Critical,50.7941619047619,51.405620172648796,50.03413125590179,50.73063247408982,50.74505869797225,89.91338255033557
japan,2019,malware,banking,44.17,502006.5,weak passwords,encryption,27.0,16.24,Medium,50.60352348993288,49.52314083921895,51.34587037037037,50.6939484857062,50.98364175977653,48.46779490529065
france,2023,phishing,government,55.18,274946.0,zero day,encryption,37.0,55.2,Medium,49.647629427792914,50.854168128888176,52.12430513595166,50.73063247408982,50.98364175977653,48.46779490529065
japan,2019,man-in-the-middle,banking,41.32,645097.0,zero day,firewall,36.0,215.53,Medium,50.60352348993288,51.405620172648796,51.34587037037037,50.73063247408982,50.07604240282686,48.46779490529065
uk,2015,ddos,telecommunications,32.92,157678.0,unpatched software,antivirus,68.0,89.4,Medium,50.7941619047619,52.0362353858145,51.06955882352941,50.39994936708861,51.08555063478004,48.46779490529065
brazil,2020,ddos,it,15.16,157034.0,social engineering,ai based detection,69.0,24.66,Low,51.0463731245923,52.0362353858145,50.97536605796616,51.27242457487658,50.74505869797225,15.9447700770077
india,2020,phishing,education,51.41,550656.0,weak passwords,encryption,4.0,55.2,Medium,48.44036096256684,50.854168128888176,48.46954841946814,50.6939484857062,50.98364175977653,48.46779490529065
australia,2017,phishing,healthcare,68.91,502006.5,unpatched software,firewall,66.0,63.16,High,52.26311760612387,50.854168128888176,50.03413125590179,50.39994936708861,50.07604240282686,69.99341233766233
uk,2023,phishing,banking,81.26,547495.0,weak passwords,ai based detection,3.0,233.45,Critical,50.7941619047619,50.854168128888176,51.34587037037037,50.6939484857062,50.74505869797225,89.91338255033557
uk,2024,ddos,it,58.31,487694.0,weak passwords,antivirus,41.0,19.05,Medium,50.7941619047619,52.0362353858145,50.97536605796616,50.6939484857062,51.08555063478004,48.46779490529065
france,2023,man-in-the-middle,retail,88.65,427067.0,zero day,antivirus,42.0,33.4,Critical,49.647629427792914,51.405620172648796,50.93712900096993,50.73063247408982,51.08555063478004,89.91338255033557
uk,2023,malware,telecommunications,1.51,502006.5,unpatched software,ai based detection,37.0,30.32,Low,50.7941619047619,49.52314083921895,51.06955882352941,50.39994936708861,50.74505869797225,15.9447700770077
uk,2020,ransomware,banking,49.23,128594.0,weak passwords,firewall,53.0,6.08,Medium,50.7941619047619,50.373152852977924,51.34587037037037,50.6939484857062,50.07604240282686,48.46779490529065
germany,2024,phishing,it,84.53,189430.0,zero day,firewall,37.0,55.2,Critical,53.41150070126228,50.854168128888176,50.97536605796616,50.73063247408982,50.07604240282686,89.91338255033557
france,2021,ddos,healthcare,90.63,603327.0,unpatched software,ai based detection,15.0,55.2,Critical,49.647629427792914,52.0362353858145,50.03413125590179,50.39994936708861,50.74505869797225,89.91338255033557
uk,2021,phishing,education,80.26,276593.0,social engineering,encryption,36.0,55.02,Critical,50.7941619047619,50.854168128888176,48.46954841946814,51.27242457487658,50.98364175977653,89.91338255033557
japan,2020,malware,education,22.87,975282.0,unpatched software,firewall,49.0,38.4,Low,50.60352348993288,49.52314083921895,48.46954841946814,50.39994936708861,50.07604240282686,15.9447700770077
india,2018,ransomware,retail,23.79,502006.5,zero day,antivirus,11.0,55.2,Low,48.44036096256684,50.373152852977924,50.93712900096993,50.73063247408982,51.08555063478004,15.9447700770077
japan,2021,phishing,it,35.43,969517.0,weak passwords,firewall,25.0,29.05,Medium,50.60352348993288,50.854168128888176,50.97536605796616,50.6939484857062,50.07604240282686,48.46779490529065
australia,2022,malware,banking,74.77,151599.0,zero day,encryption,18.0,32.65,High,52.26311760612387,49.52314083921895,51.34587037037037,50.73063247408982,50.98364175977653,69.99341233766233
japan,2022,sql injection,it,66.66,502006.5,social engineering,ai based detection,30.0,16.39,High,50.60352348993288,50.24415149006622,50.97536605796616,51.27242457487658,50.74505869797225,69.99341233766233
uk,2015,malware,it,78.13,71743.0,unpatched software,vpn,37.0,55.2,High,50.7941619047619,49.52314083921895,50.97536605796616,50.39994936708861,50.51369003690037,69.99341233766233
uk,2020,phishing,banking,51.41,502006.5,weak passwords,antivirus,37.0,100.09,Medium,50.7941619047619,50.854168128888176,51.34587037037037,50.6939484857062,51.08555063478004,48.46779490529065
germany,2020,sql injection,education,51.41,842506.0,weak passwords,antivirus,19.0,924.52,Medium,53.41150070126228,50.24415149006622,48.46954841946814,50.6939484857062,51.08555063478004,48.46779490529065
brazil,2023,phishing,it,10.18,933883.0,social engineering,antivirus,41.0,70.94,Low,51.0463731245923,50.854168128888176,50.97536605796616,51.27242457487658,51.08555063478004,15.9447700770077
uk,2019,malware,education,4.42,393748.0,unpatched software,ai based detection,10.0,80.34,Low,50.7941619047619,49.52314083921895,48.46954841946814,50.39994936708861,50.74505869797225,15.9447700770077
brazil,2020,ddos,banking,51.41,502006.5,zero day,encryption,37.0,48.83,Medium,51.0463731245923,52.0362353858145,51.34587037037037,50.73063247408982,50.98364175977653,48.46779490529065
japan,2020,ddos,healthcare,73.24,136762.0,zero day,antivirus,41.0,3.07,High,50.60352348993288,52.0362353858145,50.03413125590179,50.73063247408982,51.08555063478004,69.99341233766233
russia,2018,malware,telecommunications,8.11,737958.0,social engineering,vpn,35.0,52.47,Low,50.27492296918767,49.52314083921895,51.06955882352941,51.27242457487658,50.51369003690037,15.9447700770077
japan,2020,man-in-the-middle,banking,23.55,108886.0,zero day,antivirus,51.0,59.76,Low,50.60352348993288,51.405620172648796,51.34587037037037,50.73063247408982,51.08555063478004,15.9447700770077
australia,2016,phishing,it,92.79,285311.0,zero day,vpn,55.0,2197.03,Critical,52.26311760612387,50.854168128888176,50.97536605796616,50.73063247408982,50.51369003690037,89.91338255033557
uk,2021,malware,retail,71.11,961868.0,zero day,antivirus,57.0,40.91,High,50.7941619047619,49.52314083921895,50.93712900096993,50.73063247408982,51.08555063478004,69.99341233766233
australia,2023,phishing,it,57.34,471743.0,zero day,firewall,29.0,85.83,Medium,52.26311760612387,50.854168128888176,50.97536605796616,50.73063247408982,50.07604240282686,48.46779490529065
uk,2024,phishing,government,81.26,993903.0,weak passwords,firewall,25.0,51.83,Critical,50.7941619047619,50.854168128888176,52.12430513595166,50.6939484857062,50.07604240282686,89.91338255033557
china,2024,ransomware,it,51.41,179156.0,social engineering,ai based detection,34.0,9.46,Medium,49.59663946587538,50.373152852977924,50.97536605796616,51.27242457487658,50.74505869797225,48.46779490529065
germany,2020,man-in-the-middle,healthcare,56.27,699129.0,unpatched software,antivirus,25.0,303.15,Medium,53.41150070126228,51.405620172648796,50.03413125590179,50.39994936708861,51.08555063478004,48.46779490529065
russia,2021,phishing,it,83.76,920983.0,social engineering,encryption,24.0,168.66,Critical,50.27492296918767,50.854168128888176,50.97536605796616,51.27242457487658,50.98364175977653,89.91338255033557
uk,2023,sql injection,banking,85.64,875790.0,unpatched software,antivirus,37.0,178.85,Critical,50.7941619047619,50.24415149006622,51.34587037037037,50.39994936708861,51.08555063478004,89.91338255033557
russia,2020,malware,retail,61.39,502006.5,weak passwords,antivirus,40.0,55.2,High,50.27492296918767,49.52314083921895,50.93712900096993,50.6939484857062,51.08555063478004,69.99341233766233
russia,2023,ransomware,it,42.14,222293.0,social engineering,vpn,38.0,55.2,Medium,50.27492296918767,50.373152852977924,50.97536605796616,51.27242457487658,50.51369003690037,48.46779490529065
uk,2021,man-in-the-middle,retail,94.4,357092.0,unpatched software,antivirus,71.0,55.2,Critical,50.7941619047619,51.405620172648796,50.93712900096993,50.39994936708861,51.08555063478004,89.91338255033557
uk,2021,malware,it,84.68,708291.0,zero day,ai based detection,54.0,131.67,Critical,50.7941619047619,49.52314083921895,50.97536605796616,50.73063247408982,50.74505869797225,89.91338255033557
russia,2024,malware,banking,93.33,517610.0,zero day,firewall,35.0,1459.26,Critical,50.27492296918767,49.52314083921895,51.34587037037037,50.73063247408982,50.07604240282686,89.91338255033557
germany,2023,malware,government,70.46,368803.0,unpatched software,vpn,23.0,55.2,High,53.41150070126228,49.52314083921895,52.12430513595166,50.39994936708861,50.51369003690037,69.99341233766233
china,2023,man-in-the-middle,healthcare,48.71,421191.0,unpatched software,antivirus,62.0,55.2,Medium,49.59663946587538,51.405620172648796,50.03413125590179,50.39994936708861,51.08555063478004,48.46779490529065
india,2018,phishing,it,69.03,282139.0,unpatched software,encryption,37.0,63.4,High,48.44036096256684,50.854168128888176,50.97536605796616,50.39994936708861,50.98364175977653,69.99341233766233
china,2018,malware,it,51.41,117543.0,social engineering,antivirus,22.0,25.66,Medium,49.59663946587538,49.52314083921895,50.97536605796616,51.27242457487658,51.08555063478004,48.46779490529065
france,2020,phishing,government,27.2,536925.0,zero day,encryption,62.0,5.33,Low,49.647629427792914,50.854168128888176,52.12430513595166,50.73063247408982,50.98364175977653,15.9447700770077
uk,2023,phishing,retail,51.41,238068.0,unpatched software,vpn,61.0,60.51,Medium,50.7941619047619,50.854168128888176,50.93712900096993,50.39994936708861,50.51369003690037,48.46779490529065
japan,2022,phishing,telecommunications,38.46,39814.0,social engineering,vpn,32.0,11.1,Medium,50.60352348993288,50.854168128888176,51.06955882352941,51.27242457487658,50.51369003690037,48.46779490529065
india,2018,phishing,government,80.89,268956.0,zero day,antivirus,47.0,111.1,Critical,48.44036096256684,50.854168128888176,52.12430513595166,50.73063247408982,51.08555063478004,89.91338255033557
france,2015,malware,education,51.41,424.0,unpatched software,antivirus,37.0,13.75,Medium,49.647629427792914,49.52314083921895,48.46954841946814,50.39994936708861,51.08555063478004,48.46779490529065
uk,2020,sql injection,telecommunications,82.24,982969.0,unpatched software,encryption,64.0,55.2,Critical,50.7941619047619,50.24415149006622,51.06955882352941,50.39994936708861,50.98364175977653,89.91338255033557
germany,2021,malware,government,82.72,502006.5,social engineering,firewall,33.0,16.86,Critical,53.41150070126228,49.52314083921895,52.12430513595166,51.27242457487658,50.07604240282686,89.91338255033557
japan,2016,man-in-the-middle,retail,18.96,530947.0,unpatched software,vpn,12.0,33.68,Low,50.60352348993288,51.405620172648796,50.93712900096993,50.39994936708861,50.51369003690037,15.9447700770077
uk,2017,sql injection,it,51.41,576110.0,unpatched software,antivirus,37.0,184.99,Medium,50.7941619047619,50.24415149006622,50.97536605796616,50.39994936708861,51.08555063478004,48.46779490529065
uk,2017,man-in-the-middle,government,51.41,177154.0,zero day,antivirus,68.0,55.2,Medium,50.7941619047619,51.405620172648796,52.12430513595166,50.73063247408982,51.08555063478004,48.46779490529065
france,2017,phishing,healthcare,60.77,212177.0,zero day,encryption,2.0,76.8,High,49.647629427792914,50.854168128888176,50.03413125590179,50.73063247408982,50.98364175977653,69.99341233766233
germany,2021,ddos,banking,91.24,502006.5,unpatched software,antivirus,37.0,387.89,Critical,53.41150070126228,52.0362353858145,51.34587037037037,50.39994936708861,51.08555063478004,89.91338255033557
usa,2015,phishing,education,41.36,291727.0,zero day,encryption,31.0,55.2,Medium,51.606640173410405,50.854168128888176,48.46954841946814,50.73063247408982,50.98364175977653,48.46779490529065
germany,2022,ddos,it,78.18,987652.0,social engineering,vpn,72.0,72.02,High,53.41150070126228,52.0362353858145,50.97536605796616,51.27242457487658,50.51369003690037,69.99341233766233
uk,2022,phishing,telecommunications,16.16,502006.5,zero day,antivirus,37.0,55.2,Low,50.7941619047619,50.854168128888176,51.06955882352941,50.73063247408982,51.08555063478004,15.9447700770077
usa,2020,phishing,telecommunications,51.41,209853.0,zero day,vpn,37.0,176.4,Medium,51.606640173410405,50.854168128888176,51.06955882352941,50.73063247408982,50.51369003690037,48.46779490529065
uk,2020,ddos,retail,51.41,502006.5,zero day,antivirus,37.0,8.54,Medium,50.7941619047619,52.0362353858145,50.93712900096993,50.73063247408982,51.08555063478004,48.46779490529065
france,2015,sql injection,retail,61.41,694844.0,zero day,antivirus,43.0,7.53,High,49.647629427792914,50.24415149006622,50.93712900096993,50.73063247408982,51.08555063478004,69.99341233766233
france,2018,sql injection,retail,53.72,795831.0,unpatched software,antivirus,61.0,119.45,Medium,49.647629427792914,50.24415149006622,50.93712900096993,50.39994936708861,51.08555063478004,48.46779490529065
brazil,2020,ddos,retail,17.4,342253.0,weak passwords,encryption,22.0,85.24,Low,51.0463731245923,52.0362353858145,50.93712900096993,50.6939484857062,50.98364175977653,15.9447700770077
