Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Data Breach In GB
USA,2023.0,DDOS,,59.69,113612.0,HackeR GrOUP,ZerO-day,VPN,70.0,88.78
AusTralia,2019.0,,GoveRnment,21.72,,InSidEr,UNPatchEd SoftwArE!,AntivIrus,,30.64
,2015.0,Phishing,,85.58,17229.0,,WeAk PAsSwords,,30.0,19.78
FraNCE,2018.0,PhIshing,  HealtHcare  ,75.11,581303.0,InsiDer,SOciaL ENgiNeeRiNg ,ENcRyption,51.0,136.66
InDIa,2019.0,,EDuCAtIon,10.8,,Nation-sTAte,ZEro-Day!,AI-BaSeD DETeCtIOn,23.0,256.34
IndiA,2020.0,DDOS,BankING,86.27,898655.0, Nation-state  ,UNpatcHeD SoftWaRe,AI-basEd DetectIon,,
UK@,, MalWaRe,HealThcare,67.1,698852.0,UnknOwn ,WEak PasswoRds,,57.0,15.51
,2018.0,DDoS,HeALthcarE,76.43,304162.0,,UNpatched SofTwARE,FirewaLL,56.0,34.34
BrazIL,2015.0,,BAnKiNg,,191625.0,,SociAl EngInEErIng@,,65.0,89.74
AusTRalia,2024.0,PhIshinG,EduCatIon,93.32,93185.0,,,VPN,14.0,235.88
IndiA,2019.0,Phishing,HeAlThcare,35.6,40718.0,Nation-sTAte @,  ZeRo-dAY ,VPN,,26.61
CHIna,2015.0, PhISHing,GoveRNmenT,42.73,310574.0,NAtion-sTAte  ,Zero-daY#,,65.0,41.33
INdIA,2024.0, DDoS  ,EdUcatIon,73.37,475719.0,Nation-sTatE,SoCiAl EnginEEring,FIReWAll,52.0,
UK,2018.0,MALWaRe#,,73.18,404060.0,UnKnown,Weak PAsswoRDs!,ANTIVIRUS,32.0,9.08
,2024.0,,EdUcAtiOn,72.35,132726.0,HackER GROuP, Zero-DaY ,FireWALL,55.0,
UK#,2016.0,DDoS,BaNkiNg,87.68,336376.0,,Social ENgINeeRING,FIrEwaLl,,417.53
AustrAlIa,2022.0,,HealTHcare,67.16,,UnkNOWn,Weak PasSWOrDs,EncryptIOn,63.0,49.01
RUsSiA  ,2017.0,, EducatiOn ,83.43,313631.0,,,AntiviRUs!,,245.99
,, DDOS ,BaNkiNG,28.66,996004.0,Unknown,ZerO-Day,VPN,28.0,
CHina!,2021.0,PhISHInG,,55.04,871600.0,,,FirEwALl,29.0,
BRaziL,, DDoS ,IT,43.51,940656.0,,  Weak PasSWords  !,,41.0,93.89
USA,2015.0,,  TelEcomMuNICaTiOns,,297209.0,,,FiReWall,66.0,
UK,,,IT,78.19,,,UnpatCHEd SoftwarE ,  ANTivirUS  ,63.0,51.74
  BRaZIl  ,2022.0,Phishing,TelecoMmuNIcaTIONs,29.02,456783.0, NatioN-staTe, ZEro-Day , EncRyption,10.0,570.76
,2018.0,RAnsomwaRe,BAnkiNG,87.56,933028.0,,UnpATched SoftwAre,VPN,25.0,1.07
AustRAlia@,2023.0,PHiShing,TeleCoMMuniCatIOns,24.65,221512.0,NAtIon-stAtE,Zero-DAY,AI-baSed DeteCtion,56.0,187.33
,2017.0,Phishing,,17.88,16585.0,HAckeR GrouP!,UnPAtched SoftWaRE,,12.0,
USA,2022.0,RAnsOmwaRE ,EdUCatiON,21.01,787752.0,NatiOn-sTaTe,  Weak PasswOrDS  ,ANtivirUs,,34.87
RuSsia,,,,60.25,662517.0,,SociAl EnGineering,FiReWALL,40.0,62.65
,2018.0,MalWAre,EDUCAtioN,6.63,274509.0,, ZerO-DAy @,,20.0,2.77
FranCE,2024.0,PhisHing,GOveRnmeNT,5.8,508649.0,HAcker GroUP,UNPatcHED Software, FIReWall  ,66.0,39.27
 BrAziL,2021.0,DDOS,IT,,740257.0,UNknOwN,,ENCrYPtion,70.0,93.29
AUstralia,2024.0,Malware,,62.08,969504.0,HAcKer Group,  SOciAl EngInEeRiNG,,5.0,501.12
,2016.0,MAn-iN-tHE-MiDdle,HeAlThCArE,90.2,,NaTIOn-StAte,,AI-BaSed DeTectIoN,54.0,25.09
JAPan,2019.0,MalWarE,BANkiNg,44.17,,InSIdER,WEAk PassWoRdS,EncRyptiOn,27.0,16.24
FRAnce,2023.0,,GoVeRNmENt,55.18,274946.0,,,EncryPtioN,,
JAPAN,2019.0,Man-iN-the-MIDDle,BankIng,41.32,645097.0,NatIoN-sTAtE,Zero-DAy,FIrewall ,36.0,215.53
UK,2015.0, DDoS  ,TeLecOMmuNicAtions#,32.92,157678.0,NatiOn-sTatE,Unpatched SoftwaRe,ANtiViruS,68.0,89.4
BRAzil#,,DDOS,,15.16,157034.0,NaTion-State,SocIal EngINeErinG,AI-baseD DeTEctIoN,69.0,24.66
  India !,,,EDucation,,550656.0,,Weak PAsswords,ENcRyptIOn,4.0,
  Australia,2017.0,,HealtHcarE,68.91,,HaCker Group,UnpatChed SoftWAre,FIrEwalL,66.0,63.16
UK,2023.0,,BankInG !,81.26,547495.0,NATion-sTAtE,WeAk PAsSwOrds,AI-BaSED DeTECTion,3.0,233.45
UK,2024.0,DDoS,,58.31,487694.0,, WEaK Passwords,AntiVirus,41.0,19.05
France,2023.0,Man-in-THe-MiDdlE,ReTail,88.65,427067.0,,,  ANtivIrUs ,42.0,33.4
,2023.0, MaLwAre  , TelecommunicAtions  ,1.51,,Hacker GrOuP, UnpatCHed SoFtwarE#,AI-based DetectIon  !,,30.32
UK,2020.0,RaNsomwaRe,Banking,49.23,128594.0,NatiOn-sTatE,WeAk PassWoRDs,FiRewall,53.0,6.08
GERmany,2024.0,PhisHINg,,84.53,189430.0,,,FirEWaLl,,
FrANcE,2021.0,  DDoS,  HEalthcAre ,90.63,603327.0,Nation-STatE,UnpAtchEd SoFTWaRe, AI-baSed DetEctIoN ,15.0,
,2021.0,,EDucaTIon  ,80.26,276593.0,,SOCiAL ENgiNEEring,Encryption ,36.0,55.02
JaPAn  ,,MalwAre,EdUCAtiOn,22.87,975282.0,InsIder,UnpatCheD SofTwarE,FiRewaLl,49.0,38.4
InDia,2018.0,RAnSomwarE,REtaIL,23.79,,HackER Group,,,11.0,
JAPan,2021.0,,IT,35.43,969517.0,Hacker GRoUp,Weak PAsSwOrds@,FirEwAll,25.0,29.05
AustralIa,2022.0,Malware#,  BankiNg  ,74.77,151599.0,InsIDeR,ZERo-daY#,EncrYptioN,18.0,32.65
Japan,2022.0,SQL INJeCtioN  ,IT,66.66,,UnKnown,SocIaL EnginEeRINg!,AI-basED Detection,30.0,16.39
,2015.0,MalWaRE,,78.13,71743.0,,UnpaTchEd SoftwarE  ,VPN,,
,,PhIshing,Banking,,,HaCkEr GrOup,WeAK PaSsWorDS,AnTivirus,,100.09
GErmANY,,  SQL INJecTiON ,EduCaTioN,,842506.0,UnKnowN,Weak PAsswords@,ANtIVirus,19.0,924.52
BrAzIL,2023.0,,IT,10.18,933883.0,NATIOn-StAte,SociAL EngINeErinG,,41.0,70.94
 UK ,2019.0,MalWAre,EdUCAtion,4.42,393748.0,NatIon-stATE,UNPaTched SoftwarE#,AI-BaSed DetECtion,10.0,80.34
BrAZIL,2020.0,DDoS,BaNking,,,,,EncRYPtion,37.0,48.83
Japan,2020.0, DDoS ,HEaLthCARe,73.24,136762.0,Unknown,,,41.0,3.07
RuSsIA,2018.0,MALWarE,TeLECommunicationS,8.11,737958.0,UNknown, SOcial EnGINeerinG  ,VPN,35.0,52.47
  JApan  ,2020.0,MAN-iN-the-MiDdLe,Banking  #,23.55,108886.0,INSIder#,,,51.0,59.76
AusTrALIa,2016.0,  PhIsHINg,,92.79,285311.0,Nation-state!,, VPN  !,55.0,2197.03
,2021.0,MalWAre,ReTAil,71.11,961868.0,HAcker Group,,,57.0,40.91
AuSTralIa,2023.0,,,57.34,471743.0,UNknOWn,ZEro-daY,FirEWall,29.0,85.83
UK ,2024.0,PHishIng, GoVERnMenT,81.26,993903.0,,  WeAk PasSwords,FiRewaLl ,25.0,51.83
ChINa,2024.0,RaNsOMwARe,,,179156.0,,SocIAl ENGineerINg,AI-Based DeteCtion,34.0,9.46
GerMany,,MAN-in-the-MIDDle,HeaLTHcArE,56.27,699129.0,NaTion-state,UnpatcHed SoftWare,,25.0,303.15
RUssiA,2021.0,,IT!,83.76,920983.0,INsiDer,SocIal EngineeRing#,EnCryPTIon,24.0,168.66
UK!,2023.0, SQL Injection,BAnKIng,85.64,875790.0,NatioN-state,Unpatched SoftwarE,,,178.85
RUsSia,,MALwARe,RetaiL,61.39,,,Weak PaSswordS@,,40.0,
RUsSia,2023.0,RanSOmwarE,,42.14,222293.0,,SociAl ENgiNeeRiNg#,VPN,38.0,
,2021.0,  MaN-iN-the-MiDdlE ,RetaiL,94.4,357092.0,,UNPatcheD SOftware,,71.0,
,2021.0,MalwarE,,84.68,708291.0,,,AI-basEd Detection,54.0,131.67
RUSsiA,2024.0,MalwaRe,BAnKinG,93.33,517610.0, NatIon-sTate  ,,  FiRewall,35.0,1459.26
GERmAny,2023.0,MalWARe,GOVERnmenT,70.46,368803.0,HAcKer GroUP,UnpatcHed SoFtWaRE,VPN,23.0,
 CHinA  ,2023.0,Man-iN-the-MIdDLe@,HealtHcaRe,48.71,421191.0,NAtion-StaTE, UnpatChed SoFtwAre  ,,62.0,
INdia,2018.0,PHisHiNg,,69.03,282139.0,HAcker GRouP,  UnpAtcHED SOftwAre ,Encryption,37.0,63.4
CHIna,2018.0,MalWare,IT,,117543.0,  InsiDEr,SocIaL EngInEering,,22.0,25.66
  FRaNcE ,,PhishinG , GOvernMent ,27.2,536925.0,UnknoWn,,ENcRyption,62.0,5.33
,2023.0,,  ReTaiL,,238068.0,,UnpatCheD SoftWAre,VPN,61.0,60.51
JaPaN,2022.0,, TeLEcommUniCaTiONS  ,38.46,39814.0,, Social ENgineErING ,VPN,32.0,11.1
INdia,2018.0,,GovernMeNt,80.89,268956.0,,,ANTivirus,47.0,111.1
 FraNCe  !,2015.0, Malware ,Education,,424.0,NATiOn-stAte,UNpatched SoFtware,AnTIviruS,,13.75
,,SQL InjECtion,TeLeCommUNicatioNs,82.24,982969.0,  UnkNowN, UnPaTCHed SoFtware ,EnCrypTioN,64.0,
GerMany,2021.0,MALWare,GovErnMent,82.72,,NaTIon-sTaTe,SOciaL ENginEeriNg,FiRewAll#,33.0,16.86
Japan,2016.0,Man-in-thE-MIddLE,Retail,18.96,530947.0,Nation-sTate,Unpatched SoFtware,VPN,12.0,33.68
UK,2017.0, SQL InjecTion ,IT,,576110.0,Insider,  UnPAtched SoFTwAre,AntIVirUs,37.0,184.99
UK  ,2017.0, Man-in-the-MidDLe,GOverNmenT,,177154.0,UNknoWn,Zero-DAy,AnTIViRuS,68.0,
FrAncE,2017.0,,HealThcARE,60.77,212177.0,HAcKer GROuP!,,ENcryptioN,2.0,76.8
GermANY,2021.0,DDoS,BAnkINg,91.24,,HaCker GrOup,UnpatcHed SoFtwarE  ,,,387.89
USA,2015.0,PHIsHING,Education,41.36,291727.0,Insider,,EnCryption,31.0,
Germany,2022.0,DDOS,IT,78.18,987652.0,HAcker GrOUP@,SOcIal EnGinEerINg,VPN#,72.0,72.02
,2022.0,,TEleCoMmUnICATions,16.16,,UNknowN,,AntivirUS,,
USA,2020.0,,TelECommuniCaTions,,209853.0,NatioN-stATe, ZEro-dAY  ,VPN@,,176.4
,2020.0,DDoS,REtaIl,,,UnKNOWn,ZErO-dAy,,,8.54
France,2015.0,SQL INjection,REtAiL,61.41,694844.0,,,,43.0,7.53
France,2018.0,SQL InJEcTION!, Retail,53.72,795831.0,,UNpatched SoFtWare,,61.0,119.45
Brazil,2020.0,DDoS,Retail,17.4,342253.0,UnKNown@,WeAk PAssworDS, ENcrYptIOn ,22.0,85.24
,,,,75.94,638693.0,NaTion-stATe,WeaK PasSWords,,35.0,
USA,,Phishing,BaNKInG!,55.9,618616.0,InsidEr,Zero-daY,VPN,51.0,91.81
,2023.0, SQL InJEctiOn ,Retail,56.76,774426.0,HacKER Group,SocIal EngiNEeRinG,AI-Based DETection,21.0,19.69
,2023.0,,GOverNment,,,InSiDer,UnpaTched SOFtware,EnCryPtiOn,64.0,77.35
India,2019.0,PHishinG,TElecoMmunicAtions,75.23,141627.0,Insider,UNpatCHEd SoFtWArE,AI-basED DEtectioN,64.0,84.74
,,PhiSHINg,IT,3.93,845785.0,UnkNOwN,,,69.0,18.7
AUstRAlia,,MAlware,RetaiL,99.41,,InsidEr,ZEro-Day,ANtiVirUS,,
USA,2016.0,MalWare@,REtAIl,32.89,,UNkNOwn  ,SOcIal EngineerING  #,AI-basEd DeTectiOn,31.0,111.14
JApaN,2017.0,,HeAlthCaRe,21.66,277555.0,UnkNowN,SocIal EnGinEering,AI-based DEtEction,45.0,9.14
AuStraLIA,2024.0,RanSoMware,EduCAtION !,85.86,461012.0,,,,,146.18
RUsSia,2021.0,SQL InJEction,TeLEcOmmuNicatioNs,80.23,599291.0,NaTIOn-State,,FirewAll @,55.0,12.65
,,MaN-in-the-Middle,GoVeRnMEnT,31.92,163602.0,  HAcker Group,UNpatched SOFTwaRe,VPN,26.0,177.79
UK,,SQL InjectiOn,Government,39.03,986196.0,NatioN-STaTe,Weak PaSswORDs,EncrYPTioN,11.0,310.41
  France,2024.0,RaNsoMWare,Retail,99.03,349008.0,NaTion-sTAte,ZeRo-dAy,ENCryption ,20.0,15.94
GeRmany,2022.0,  SQL InjEcTIoN  ,RetAIl#,25.1,559667.0,Unknown,ZErO-Day,,69.0,231.61
,2018.0,DDoS@,,67.27,335628.0,,WEak Passwords,AnTivirus,20.0,101.41
,2016.0,,EdUcATiON,29.89,385363.0,UNKnown,UnPatcHeD Software,FIrewall,22.0,187.37
USA,2021.0,MaN-iN-ThE-MiDdle,EdUcation,,945793.0,INSIder,  ZERO-day  ,FirewAll,,
RuSSia,2016.0,SQL InJeCtion,TelecomMUNicatiOnS  ,,595950.0,NaTiOn-stATe,SoCiAL EngineeriNg,,,37.79
  JapaN  ,,,EdUcatIon,12.61,756722.0,NATIOn-stAte,WEAk PAsswordS,VPN@,15.0,17.63
AustRalia,2024.0, RanSoMwArE@, GoveRnment,39.92,,Hacker GRouP  ,SoCial ENgINEErinG!,ANtiviRUs,54.0,14.38
,2015.0,MaLWarE,,19.36,457790.0,  HaCker GrOUp ,Zero-daY,EncrYptiOn,39.0,16.06
ChinA,2024.0,RansoMware,TelEcommunicaTiOnS#,70.47,549337.0,  UnkNown@,  SoCiaL ENgIneerIng  ,AntivirUs,63.0,48.64
FRaNCe,2023.0,,HEaLThCArE,53.34,,  Unknown,UNpAtched SoFtWare,Firewall,34.0,91.08
INdiA#,2022.0,MalwArE,,84.15,849745.0,Hacker Group,Social EnginEErinG,AntiviruS,,82.68
BraziL!,,,Banking,27.64,826256.0,NATion-sTate,ZEro-day,VPN,50.0,188.82
UK,2017.0, DDoS  ,IT,9.01,617543.0,UnKnOWn,ZEro-dAy,,43.0,55.67
 USA ,2017.0,  SQL InjeCtiON,,9.08,895507.0,UNknowN,, AI-BaseD DeTecTion#,,483.14
UK  ,2020.0,SQL InjectIoN,HeaLthcare,67.9,2233.0,  UnkNown, SocIAL EngiNeerIng,AnTiviruS,45.0,36.71
JapAn,,PHishIng, Government,71.12,76776.0,UnkNowN,UNpatched SOFtwarE,,42.0,
,2019.0,RanSoMware,Retail,6.08,175261.0,  Nation-StAtE,ZeRO-dAy,VPN,64.0,139.56
Australia  ,2016.0,Man-IN-thE-MiDdLE,  HeAlthcAre,90.85,,InSider,UNpatcheD SOFtwaRe,ANtiVirUs,30.0,15.09
,2017.0,MaLwARe,  HealtHcarE,77.32,563706.0,NatIOn-sTate,UnpatcHEd SoftWare,AI-Based DetectiON,35.0,10.95
India,2022.0,DDOS,HealThCare,,254980.0,InsiDer,UnpATchEd SoFTwarE,AI-bAsed DetectIon,58.0,
  RuSsIa  ,2021.0,MalwARe,,,869574.0,, UNpatcHed SoftwAre,,16.0,39.05
RuSsia,2015.0,MaLWARe ,,,,UNknOWN ,,VPN  #,21.0,159.33
  Brazil ,2023.0, MAlWare,TeleCOmmunicaTioNS,62.77,422623.0,NatIOn-STate,ZeRo-day,AI-BAsed DeTection,55.0,111.04
BRazIl,2021.0,MaLwaRe,HeAlthCAre,83.06,937717.0,UnKnown,UnpaTchEd SOftWare,ENcryptIoN,56.0,
,2021.0,MaN-iN-the-MIddLE ,TelecOmmunicationS,71.64,416077.0,Insider,SocIAl EngINeEring,VPN,39.0,15.33
AusTRalia,2019.0,Man-in-ThE-MiDdle,BaNKIng,47.67,112313.0,InSIdeR,,Firewall,63.0,5.63
  AusTralia ,,,TElecommUNiCations@,79.72,799971.0,INsider,Zero-dAy,  FIrewALL  ,63.0,27.94
JapAN,,MaN-In-thE-MiDDle,RetAIL,47.11,690595.0,HackEr GroUp,SOCial ENgINeerINg,ANtivirUS,71.0,197.27
India,2017.0,,GovernMenT ,69.69,713419.0,Hacker Group !,UnpatchEd SOfTwAre,AI-bASed DeTectioN,70.0,
AusTrAliA,2022.0,Man-in-the-MiDdle,HEaLThcare,81.31,707365.0,HaCkER GROup,ZEro-dAy,  AnTiVIruS ,38.0,8.43
BRaziL,,Malware,,,,UnkNOwN  ,UnpatcHed SOFtware,AnTivirus ,,70.79
  RUsSia  !,2022.0,PHIshInG,Banking,85.01,923558.0,INsider,Weak PaSswOrds,EncrypTioN,41.0,97.32
GerMAnY,2022.0,  DDoS,TElecommUNICaTionS,,239313.0,NAtIoN-StatE,SociaL EngiNeERinG,AI-based DeteCtIon,6.0,14.5
,2023.0,RanSOmwarE,,60.08,874485.0,,WeAk PaSsworDS,AntIviruS ,48.0,68.76
,2016.0, SQL Injection  ,HeALthcAre,,90895.0,UnknOWn,SocIal EnGInEEring,VPN,29.0,
 ChINa ,2015.0,,REtaIL,,,HACkER Group,Zero-DAy,VPN,64.0,9.83
GErmanY,2018.0,PhisHing  ,,46.92,610201.0,, WeAk PasswoRdS!,VPN,72.0,93.38
USA,2021.0,DDoS,TeLecOmmunicAtions,1.98,863623.0, HAcKeR Group ,WEAK PaSsWoRds,,,126.62
USA,2018.0,MalwAre,HealtHCaRe  ,14.28,,INsiDer,Weak PAssWorDs,AntIVIrUs,44.0,277.15
Japan,2021.0,SQL InjecTION,TelecommunIcatiONs,,164032.0,UNkNowN,,FiRewAll,5.0,265.26
RuSsia,,MAn-In-The-Middle,TeLECOmmunicaTioNs,95.66,259993.0,NAtion-StATe@, WeaK PAsswordS  ,AntiVirUS,58.0,6.91
  UK,,  PhIshInG ,RetaIl,90.13,232359.0,Unknown,SOcial ENgineERing@,,17.0,13.37
,2018.0,PhishInG,TelecomMunicatioNs,84.9,800031.0,Unknown ,,EncryPtIon,10.0,118.22
UK,2016.0,PhisHing,HEaltHCare,71.19,925040.0,UnkNown#,UnPAtched SoftWARe,EncRyption,,
BrAZil,,MalwarE@,IT,,273469.0,,SoCiaL EngIneerinG,AI-BAsEd Detection,67.0,
GermaNy,,MAlwaRe  #,BaNking,22.84,797768.0,InsideR,Zero-day,FIrewAll,,10000.0
JApan ,,,EDUcaTIOn,82.19,905203.0,HaCkER GrouP,WeaK PAsswords, AntiVIrUs,37.0,128.55
IndIa,2023.0,PhisHing,TElECOmmuNicAtiOnS,,512291.0,INsidEr,,,51.0,299.87
UK,2017.0, PhishiNg  ,TelECoMmunicatIONs,,,InsiDeR,  SOciaL EnGiNeerIng ,VPN,9.0,
UK,2015.0,RansOMWare,GOVErnmeNt,30.74,744505.0,Nation-StaTE,,,,145.05
BrAzil,2020.0,MaLwARe,BAnking,79.61,, NAtIon-StAte, WeaK PasSWORDS ,  FireWalL ,27.0,
BRazil ,2017.0,Malware,BankiNg@,99.22,,,WEak PAssWorDs,,21.0,170.45
India,2016.0,,ReTaIl,29.48,403737.0,INsIdeR!,,FiRewall,26.0,17.13
ChIna,2019.0,,RetAIl,7.87,86783.0, NAtiOn-State  ,,AntiviRUs,12.0,38.27
AuSTraLiA,2022.0,,TeleCommUNicAtions,86.77,390083.0,NatiOn-state,SociaL ENgiNeeriNg,VPN,,26.36
BrazIl  ,2023.0, Man-in-The-MiddLe,BankinG,,376174.0, UnknowN ,SOciAl ENGiNeerING,FirEWAll,43.0,
 UK  ,2022.0,Ransomware,,,, INSider,Weak PASSWOrds, Antivirus,61.0,1758.1
FRancE,,,BaNkinG,78.82,759804.0,,UnpAtcHEd SOFTWarE,,,3.32
Japan,2017.0,PhiShIng,IT,65.62,286208.0, HACker GROup  ,,Firewall,57.0,
USA,,MaLWARE,IT!,75.53,,NaTiOn-sTAtE,UnPAtched Software,,33.0,4.86
USA,,MAn-in-the-MidDLe,,36.06,48987.0,  Unknown  ,,VPN!,58.0,26.9
RusSia,2021.0,SQL InJEctiOn@,,68.07,538602.0,  InsiDEr ,UnpAtcheD Software,VPN,19.0,279.62
JApAN,,Malware  ,HealtHcARe,26.29,808392.0,Hacker GRoup,Weak PAsSwords,,4.0,
UK,,RanSOMwaRe,IT,26.12,21580.0,UnKnOwn,WeAk PasswOrds,AI-baseD DETection@,14.0,10.84
France,2020.0,PHisHINg,GoverNMeNt,94.44,209658.0,InsiDeR,ZErO-dAY,VPN,11.0,18.67
,2017.0,MaN-iN-ThE-MIDdle,RETail,74.12,559889.0,NaTion-state,ZEro-DaY, VPN,10.0,
FrancE!,2015.0,SQL INJEcTIon, GOveRNment ,12.92,,  InsidER ,Zero-day,VPN,28.0,18.26
  AUStraliA ,2024.0,PhiShing#,ReTaiL,,897569.0,,Social ENgInEering,AI-bASed DeteCTiON,66.0,75.54
AuSTralia,2023.0,SQL INjectIOn,,99.19,538688.0,NaTion-statE,,ENCryptioN,36.0,58.46
